item,f,ssf_predictor,ssf_outcome,attenuation_sensitivity,participant_balanced_r,g_sensitivity,ci95_low,ci95_high
fatigue,0.0,0.4271236768361125,0.3618242823536207,0.3931204876974312,0.0166403958830236,0.0847339384833202,0.0039256461302797,0.3114973508193806
fatigue,0.25,0.4271236768361125,0.3618242823536207,0.5453059541553482,0.0166403958830236,0.0610598472608404,0.0026269952208001,0.2269248419318494
fatigue,0.5,0.4271236768361125,0.3618242823536207,0.6970458516190308,0.0166403958830236,0.0477590953821645,0.0020842324884519,0.1730295202246971
fatigue,0.75,0.4271236768361125,0.3618242823536207,0.8485792389126319,0.0166403958830236,0.0392269702085511,0.0021516284494872,0.1407070722337604
moodswing,0.0,0.4271236768361125,0.3783188212682444,0.4019812507523163,-0.0216318925688006,0.1077825504407163,0.0055697154329649,0.3110155282171578
moodswing,0.25,0.4271236768361125,0.3783188212682444,0.5517374731201788,-0.0216318925688006,0.0784740527777602,0.0040405734331814,0.2291815318025273
moodswing,0.5,0.4271236768361125,0.3783188212682444,0.7012544873405006,-0.0216318925688006,0.0617242167261091,0.0028079308917152,0.1694756318239905
moodswing,0.75,0.4271236768361125,0.3783188212682444,0.8506584368986425,-0.0216318925688006,0.0508756259999785,0.0032840292835718,0.1490864031953324
cramps,0.0,0.4271236768361125,0.5724210896911769,0.4944639527078082,-0.0758930439370943,0.310651933058384,0.1426960575744131,0.4787147992306695
cramps,0.25,0.4271236768361125,0.5724210896911769,0.6224490794599554,-0.0758930439370943,0.2456860515805896,0.1091724866621621,0.3790135307884398
cramps,0.5,0.4271236768361125,0.5724210896911769,0.7490059023557022,-0.0758930439370943,0.2036984150114884,0.0932803926127636,0.3144356406047632
cramps,0.75,0.4271236768361125,0.5724210896911769,0.8747545691545893,-0.0758930439370943,0.1741752465643987,0.0761972929924867,0.2687784510033392
bloating,0.0,0.4271236768361125,0.3490580826653037,0.3861230007359937,-0.0306615342822773,0.1593205571417711,0.0099856019798602,0.3753947172711293
bloating,0.25,0.4271236768361125,0.3490580826653037,0.5402756254785932,-0.0306615342822773,0.1136865295991527,0.0061424266343821,0.2724872303899127
bloating,0.5,0.4271236768361125,0.3490580826653037,0.6937709872859315,-0.0306615342822773,0.0884773893487935,0.0069315351976554,0.2147930385767451
bloating,0.75,0.4271236768361125,0.3490580826653037,0.8469665079786809,-0.0306615342822773,0.0724506709032364,0.0049379487265128,0.1733530606717749
