N,nobs,beta_sd,beta_mean,rho,analysis,rejection_rate,mcse,mean_SD_obs,mean_null_median,replications,surrogates_per_test,seed
41,85,0.0,0.0,0.2,calibration,0.057,0.0073315073484243,0.1275491082273622,0.1271596699477779,1000,199,26083104
41,85,0.0,0.0,0.5,calibration,0.036,0.0058910101001441,0.1642569976185253,0.1645992943504534,1000,199,26084104
41,85,0.0,0.2,0.2,calibration_common_slope,0.0,0.0,0.1213033293326975,0.1506962405412132,1000,199,27083104
41,85,0.0,0.2,0.5,calibration_common_slope,0.0,0.0,0.1561873340118405,0.1820915444381849,1000,199,27084104
20,30,0.1,0.0,0.2,power,0.162,0.0116514376795312,0.2124433029878292,0.1944988834266018,1000,199,26084114
20,60,0.1,0.0,0.2,power,0.268,0.0140062843038401,0.1683782179074149,0.1470654456511096,1000,199,26085123
20,90,0.1,0.0,0.2,power,0.381,0.0153570504980611,0.1538999160575353,0.1286637354592407,1000,199,26086132
40,30,0.1,0.0,0.2,power,0.206,0.0127892142057282,0.21346618066167,0.1975149804131215,1000,199,26087141
40,60,0.1,0.0,0.2,power,0.448,0.0157256478403911,0.1731133476022072,0.1500019773050966,1000,199,26088150
40,90,0.1,0.0,0.2,power,0.607,0.0154450963091849,0.1566011455945023,0.1306338769923446,1000,199,26089159
60,30,0.1,0.0,0.2,power,0.304,0.0145459272650457,0.2155292338443831,0.1988329880816298,1000,199,26090168
60,60,0.1,0.0,0.2,power,0.558,0.0157046489932121,0.1734068493420235,0.1509173848588587,1000,199,26091177
60,90,0.1,0.0,0.2,power,0.727,0.0140879735945238,0.1567276041745888,0.1315125539995912,1000,199,26092186
20,30,0.2,0.0,0.2,power,0.597,0.0155109960995417,0.2594146876047216,0.2046153893419745,1000,199,26093195
20,60,0.2,0.0,0.2,power,0.863,0.0108734079294396,0.2284392337793118,0.1614428382437494,1000,199,26094204
20,90,0.2,0.0,0.2,power,0.948,0.0070211110231928,0.2176020005407134,0.1444716149801209,1000,199,26095213
40,30,0.2,0.0,0.2,power,0.839,0.011622349160131,0.2620162184854024,0.2078232699893612,1000,199,26096222
40,60,0.2,0.0,0.2,power,0.981,0.0043172908171676,0.2319143355989726,0.1642516916935456,1000,199,26097231
40,90,0.2,0.0,0.2,power,0.999,0.0009994998749374,0.2211247095377885,0.1474865791032283,1000,199,26098240
60,30,0.2,0.0,0.2,power,0.933,0.007906389820898,0.2639530126465919,0.2094928810005852,1000,199,26099249
60,60,0.2,0.0,0.2,power,0.999,0.0009994998749374,0.2340181584220526,0.1656058683081879,1000,199,26100258
60,90,0.2,0.0,0.2,power,1.0,0.0,0.223342679927535,0.1484246759867978,1000,199,26101267
20,30,0.3,0.0,0.2,power,0.908,0.0091398030613356,0.313255444635568,0.2182731602587636,1000,199,26102276
20,60,0.3,0.0,0.2,power,0.991,0.0029864694875387,0.289613656604008,0.1785949642187406,1000,199,26103285
20,90,0.3,0.0,0.2,power,1.0,0.0,0.2867121379251549,0.1656299706699369,1000,199,26104294
40,30,0.3,0.0,0.2,power,0.995,0.0022304708023195,0.3194278222399261,0.2220398694160857,1000,199,26105303
40,60,0.3,0.0,0.2,power,1.0,0.0,0.2973012878989536,0.1827999680468864,1000,199,26106312
40,90,0.3,0.0,0.2,power,1.0,0.0,0.2894276572459035,0.1677242725130283,1000,199,26107321
60,30,0.3,0.0,0.2,power,1.0,0.0,0.3219178788785365,0.2235833593300339,1000,199,26108330
60,60,0.3,0.0,0.2,power,1.0,0.0,0.297972315816723,0.1833695686099319,1000,199,26109339
60,90,0.3,0.0,0.2,power,1.0,0.0,0.2913426657712151,0.1688731673902783,1000,199,26110348
