factor,level,min_n_fidelity_070,fidelity_n20,fidelity_n56,rmse_n20,sign_accuracy_n20,bias_n20
contamination,outliers_2pct,30.0,0.6588655989704538,0.7722022163558628,0.716390666622102,0.7736923076923078,0.0660140153083004
directional_distribution,bimodal,20.0,0.8148015057661621,0.9093691650603996,0.7052543531338639,0.9035128205128208,-0.0075056746434269
directional_distribution,shifted_unimodal,30.0,0.6585344914146661,0.7776996159420675,0.6918238562927649,0.8116410256410259,0.2992821143689685
functional_form,asym_linear,20.0,0.7730823199127774,0.8931169226589156,0.6809657573483835,0.8473333333333335,0.053500666968752
functional_form,piecewise,56.0,0.5598618286267848,0.731101411357932,0.7122195136527991,0.8545128205128206,-0.4681443664357045
functional_form,sigmoid,,0.4106917543181147,0.6038235578448037,0.5857106551017127,0.972820512820513,-0.5535713742436972
heteroscedasticity,luteal_1.5x,20.0,0.7201409983515321,0.8261856857539553,0.6904505401779232,0.8064871794871796,0.0604046071563264
individual_gain,K_sd_0.05,30.0,0.6731138096620998,0.7810507091015181,0.7067115882025683,0.7844615384615385,0.0450278696261561
measurement_error,AR1_rho_0.3,30.0,0.6844162231329636,0.7930235320873172,0.6983221464967292,0.7886410256410257,0.0601596307661365
measurement_error,white_rel_0.55,40.0,0.6387477213888783,0.7766377237751838,0.7289192453528738,0.7630256410256411,0.0672740190809941
missingness,MCAR_10pct,30.0,0.6732221976880924,0.8029434387848154,0.7025997569563486,0.7814102564102566,0.0618803240384244
missingness,MCAR_25pct,30.0,0.6441769047214276,0.7833144632021768,0.7098202969450805,0.766948717948718,0.0702311494214582
missingness,outcome_MNAR_like,30.0,0.6652913410405975,0.7979959627662615,0.7041417607969545,0.7768205128205129,0.0639393586709368
missingness,phase_dependent,30.0,0.6804455544313084,0.8064337902729865,0.6953616472249056,0.7854358974358975,0.0569914597310198
nonstationarity,linear_drift,30.0,0.6745359035324798,0.7990623490859545,0.7310561375823675,0.7532820512820513,0.1583637551308793
nonstationarity,slow_baseline,30.0,0.6898402257748903,0.8081524522988879,0.7036870827732077,0.7915897435897437,0.0560746290212197
reference,reference,30.0,0.6988055958334073,0.8120560315915132,0.6947691326492413,0.7952051282051285,0.0606910606834678
residual_AR1,rho_0.2,30.0,0.6774770621408943,0.7904202721692436,0.7000060387218621,0.7838717948717949,0.0612942646255827
residual_AR1,rho_0.5,40.0,0.6579572786525246,0.747397900300701,0.703591171178661,0.7705384615384616,0.0559374155405771
residual_AR1,rho_0.8,30.0,0.6937103423089275,0.706595006526506,0.6827384012422303,0.7915897435897437,0.0621451320310681
